req_id,text
ecommerce_us_001,The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.
ecommerce_us_002,The product shall be easy for a realtor to learn.
ecommerce_us_003,The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.
ecommerce_us_004,90% of untrained realtors shall be able to install the product on their device without printed instructions
ecommerce_us_005,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.
ecommerce_us_006,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.
ecommerce_us_007,Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.
ecommerce_us_008,The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training
ecommerce_us_009,The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.
ecommerce_us_010,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.
ecommerce_us_011,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.
ecommerce_us_012,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.
ecommerce_us_013,The product shall allow the user to select a chosen language from one of the target market countries.
ecommerce_us_014,The product shall allow for customization of start page and views preferences.
ecommerce_us_015,An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.
ecommerce_us_016,The product shall use a standard navigation menu familiar to most web users.
ecommerce_us_017,The product shall allow for intuitive searching of available conference rooms.
ecommerce_us_018,The product shall conform to the Americans with Disabilities Act.
ecommerce_us_019,The product shall be translated into foreign languages other than the target market countries languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market�s language.
ecommerce_us_020,The product shall be able to display calendar dates and times according to the users locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.
ecommerce_us_021,The product should be able to be used by 90% of novice users on the Internet.
ecommerce_us_022,The product shall retain the customers buying preferences and information.
ecommerce_us_023,The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.
ecommerce_us_024,The product shall use symbols and words that are naturally understandable by users familiar with websites
ecommerce_us_025,The product shall be intuitive and self-explanatory.  Nine out ten users shall be able to successfully complete a game with no training.
ecommerce_us_026,The product shall be available to players who understand English  Spanish and French.  The product shall allow the user to select the language upon accessing the product.
ecommerce_us_027,The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.
ecommerce_us_028,The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators)
ecommerce_us_029,The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion. With a week of training prior to product implementation  98% of the users shall complete their budgets within the stipulated time.
