req_id,text
ecommerce_sc_001,The product shall be able to support multiple remote users
ecommerce_sc_002,The product shall be able support 1000 simultaneous users.
ecommerce_sc_003,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.
ecommerce_sc_004,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.
ecommerce_sc_005,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.
ecommerce_sc_006,The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.
ecommerce_sc_007,The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.
ecommerce_sc_008,The product shall be expected to operate for at least 5 years for each customer installation.
ecommerce_sc_009,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.
ecommerce_sc_010,The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.
