req_id,system,class,source,text,numbers_count,units_count,explicit_quantifiers,modal_score,strong_modal,weak_modal,actor_score,actor_specific,vague_lex_hits,comparative_unanchored,open_quantifier,num_present,unit_present,kpi_near,std_present,cue_score,L,_row_idx,sim_spec_sys,sim_vague_sys,M_raw_sys,M_sys,w_L_sys,w_M_sys,bank_Q_sys,bank_shrink_a_sys,VB_size_sys,SB_size_sys,S_final_sys
ecommerce_a_002,ecommerce,a,merge_accept,The product shall be available for use 24 hours per day  365 days  per year,2,4,0,1.0,1,0,0.0,0,0,False,False,1,1,1,0,7.0,1.0,1,,,,,,,,,,,
ecommerce_a_003,ecommerce,a,unchanged,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,1,2,2,1.0,1,0,0.0,0,0,False,False,1,1,0,0,6.0,1.0,2,,,,,,,,,,,
ecommerce_a_007,ecommerce,a,unchanged,The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,2,0,2,1.0,1,0,1.0,1,0,False,False,1,0,0,0,6.0,1.0,5,,,,,,,,,,,
ecommerce_f_002,ecommerce,f,unchanged,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,3,0,2,1.0,1,0,0.0,0,0,False,False,1,0,0,0,6.75,1.0,7,,,,,,,,,,,
ecommerce_f_043,ecommerce,f,unchanged,shall be able to stream purchased movie via Windows Media Player  for up to 2 days aftere purchase date.,1,1,3,1.0,1,0,1.0,1,0,False,False,1,1,1,0,7.0,1.0,48,,,,,,,,,,,
ecommerce_f_054,ecommerce,f,unchanged,The product shall remove players who have been inactive for 24 hours from the list of players.,1,1,1,1.0,1,0,1.0,1,0,False,False,1,1,1,0,5.0,1.0,59,,,,,,,,,,,
ecommerce_f_059,ecommerce,f,unchanged,Once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids.,1,0,1,1.0,1,0,1.0,1,0,False,False,1,0,0,0,4.5,0.9,64,,,,,,,,,,,
ecommerce_lf_015,ecommerce,lf,unchanged,The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group  prior to implementation. The remaining 5% will be corrected and approved within one month of product release.,2,1,2,1.0,1,0,0.0,0,0,False,False,1,1,0,0,6.0,1.0,111,,,,,,,,,,,
ecommerce_mn_001,ecommerce,mn,unchanged,The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,2,0,2,1.0,1,0,1.0,1,0,False,False,1,0,0,0,6.0,1.0,112,,,,,,,,,,,
ecommerce_mn_005,ecommerce,mn,unchanged,The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,1,0,4,1.0,1,0,0.0,0,0,False,False,1,0,0,0,6.0,1.0,115,,,,,,,,,,,
ecommerce_o_007,ecommerce,o,unchanged,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,2,1,0,1.0,1,0,0.0,0,0,False,False,1,1,1,0,4.0,0.8,125,,,,,,,,,,,
ecommerce_o_017,ecommerce,o,unchanged,The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,2,0,4,1.0,1,0,0.0,0,0,False,False,1,0,0,0,7.25,1.0,135,,,,,,,,,,,
ecommerce_o_026,ecommerce,o,merge_accept,The product shall be able to be installed in the specified environment within 1 working day.,1,0,2,1.0,1,0,0.0,0,0,False,False,1,0,0,0,4.0,0.8,143,,,,,,,,,,,
ecommerce_pe_005,ecommerce,pe,unchanged,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,2,1,2,1.0,1,0,0.0,0,0,False,False,1,1,1,0,6.0,1.0,150,,,,,,,,,,,
ecommerce_pe_006,ecommerce,pe,unchanged,Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.,1,0,2,1.0,1,0,1.0,1,0,False,False,1,0,0,0,5.0,1.0,151,,,,,,,,,,,
ecommerce_pe_007,ecommerce,pe,unchanged,Izogn Administrator must be able to update the category listings on the website within 2 minutes.,1,0,3,1.0,1,0,1.0,1,0,False,False,1,0,0,0,6.25,1.0,152,,,,,,,,,,,
ecommerce_sc_003,ecommerce,sc,unchanged,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,2,0,2,1.0,1,0,0.0,0,0,False,False,1,0,0,0,5.0,1.0,163,,,,,,,,,,,
ecommerce_sc_004,ecommerce,sc,unchanged,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,2,0,3,1.0,1,0,0.0,0,0,False,False,1,0,0,0,6.0,1.0,164,,,,,,,,,,,
ecommerce_sc_005,ecommerce,sc,unchanged,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,3,1,2,1.0,1,0,0.0,0,0,False,False,1,1,1,0,7.0,1.0,165,,,,,,,,,,,
ecommerce_sc_006,ecommerce,sc,unchanged,The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,5,0,4,1.0,1,0,0.0,0,0,False,False,1,0,0,0,10.0,1.0,166,,,,,,,,,,,
ecommerce_sc_007,ecommerce,sc,unchanged,The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,5,2,3,1.0,1,0,0.0,0,0,False,False,1,1,1,0,11.0,1.0,167,,,,,,,,,,,
ecommerce_sc_008,ecommerce,sc,unchanged,The product shall be expected to operate for at least 5 years for each customer installation.,1,1,3,1.0,1,0,1.0,1,0,False,False,1,1,1,0,7.0,1.0,168,,,,,,,,,,,
