text,class,system
The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,A,ecommerce
The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,SE,ecommerce
The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,US,ecommerce
The product shall respond fast to keep up-to-date data in the display.,PE,ecommerce
The product shall have a consistent color scheme and fonts.,LF,ecommerce
The product shall be easy for a realtor to learn.,US,ecommerce
The product shall generate a CMA report in an acceptable time.,PE,ecommerce
The product shall synchronize contacts and appointments in an acceptable time.,PE,ecommerce
The product shall synchronize with the office system every hour.,PE,ecommerce
The product shall be available for use 24 hours per day  365 days  per year,A,ecommerce
The product shall operate in offline mode whenever internet connection is unavailable.,FT,ecommerce
The product shall allow the user to view previously downloaded search results  CMA reports  and appointments.,FT,ecommerce
The product shall retain user preferences in the event of a failure.,FT,ecommerce
The product shall be able to support multiple remote users,SC,ecommerce
The product shall be able support 1000 simultaneous users.,SC,ecommerce
The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,SC,ecommerce
The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.,US,ecommerce
90% of untrained realtors shall be able to install the product on their device without printed instructions,US,ecommerce
The product is expected to run on Windows CE and Palm operating systems.,PO,ecommerce
The product shall prevent its data from incorrect data being introduced.,SE,ecommerce
The system shall be able to call the seller or buyer to schedule an appointment,F,healthcare
The system shall notify the realtor when a seller or buyer responds to an appointment request,F,healthcare
The product shall allow the user to save the property search results.,F,ecommerce
The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,PE,education
The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,SC,education
The system shall interface with the student master server.,O,education
Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,F,education
A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.,F,education
A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.,F,education
A clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab.,F,education
Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,F,education
The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,F,education
The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,F,education
A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,F,education
A staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes.,F,education
The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.,F,education
The system shall be able to display a printable summary for individual nursing students  which will include (but not be limited to) student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in.,F,education
The system shall be able to display a printable summary of the system log.,F,field_service
The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.,F,education
The system will notify affected parties when changes occur affecting cohorts  including but not limited to changes to the sequence for a cohorts program of study and changes to a given weeks schedule (lab cancelled this week due to instructor illness).,F,education
The system will notify affected parties when changes occur affecting specific students  including but not limited to changing a students status from full time to part time and moving a student to a different clinical section.,F,education
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section  including the clinical site name  the department/section for the lab  the class  instructor  day and time of lab  and contact information.,F,education
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student  including student ID  student name  phone number  e-mail  status (full time or part time)  and program of study.,F,education
100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,US,education
100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,US,education
100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,US,education
The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows.  Monday  Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,O,field_service
The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,O,banking
If a user account is revoked  it can only be re-instantiated by the System Administrator.,SE,banking
Only the System Administrator shall be able to reset a revoked user logon account,SE,banking
The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,L,banking
The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,F,banking
The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,F,banking
The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,F,ecommerce
The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,F,field_service
The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,F,banking
The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,F,banking
The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,F,banking
The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,F,healthcare
The product must support Internet Explorer 5.5 and above.,O,ecommerce
The product must support Mozilla Firefox 1.0 and above.,O,ecommerce
The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,O,ecommerce
The product shall run on the existing hardware for all environments.,O,ecommerce
The product shall adhere to the corporate Architecture guidelines,O,ecommerce
The product shall comply with corporate User Interface Guidelines,LF,ecommerce
The product shall comply with corporate color scheme,LF,ecommerce
The appearance of the product shall appear professional,LF,ecommerce
The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,US,ecommerce
The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,US,ecommerce
Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,US,ecommerce
The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,US,ecommerce
The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,US,ecommerce
The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,PE,field_service
The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,PE,field_service
The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,A,ecommerce
The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,A,ecommerce
The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,SC,ecommerce
The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,SC,ecommerce
For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,O,ecommerce
The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,O,ecommerce
The maintenance of the product will fall within the established corporate maintenance windows.,O,ecommerce
The product shall be supported using the corporate support center.,O,ecommerce
Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,O,ecommerce
Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,SE,field_service
One insurance company shall not be able to view another insurance companys claim data.,SE,healthcare
The product shall free of computer viruses.,SE,ecommerce
The product must comply with Sarbanes-Oxley.,L,ecommerce
The product shall comply with the estimatics laws relating to recycled parts usage.,L,ecommerce
The product shall comply with insurance regulations regarding claims processing.,L,ecommerce
The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,F,field_service
The system shall locate the preferred repair facility with the highest ratings for the input criteria,F,field_service
The adjuster shall enter the preferred repair facility on the estimate assignment.,F,education
The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,F,education
The preferred repair facility shall be returned to the user.,F,field_service
The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,F,field_service
The adjuster shall review the collision estimate.,F,ecommerce
The user shall select to view the preferred repair facility ratings.,F,field_service
The current repair facility ratings shall be displayed to the user.,F,field_service
The user shall select to save the preferred repair facility ratings.,F,field_service
The preferred repair facility ratings shall be saved by the system.,F,field_service
The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,O,ecommerce
The product will function alongside server software on any operating system where the Java runtime can be installed.,O,ecommerce
The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,O,ecommerce
The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.,O,ecommerce
A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.,O,ecommerce
The product shall have a conservative and professional appearance.,LF,ecommerce
The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,US,ecommerce
The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,US,ecommerce
