req_id,system,class,text,V1_raw,V2_raw,V3_raw,V4_raw,V1,V2,V3,V4,V_final,w_V1,w_V2,w_V3,w_V4
ecommerce_a_001,ecommerce,a,The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,0.0,0.0166666666666662,0.49999999999975,0.04350566864013672,0.5,0.5,1.0,0.5,0.8124999999989845,0.12499999999984378,0.12499999999984378,0.6249999999992188,0.12499999999984378
ecommerce_a_002,ecommerce,a,The product shall be available for use 24 hours per day  365 days  per year,0.0,0.0,0.49999999999949996,0.05666232109069824,0.5,0.5,0.9999999999989999,0.5,0.8124999999983594,0.12499999999984378,0.12499999999984378,0.6249999999992188,0.12499999999984378
ecommerce_a_003,ecommerce,a,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,0.0,0.011538461538461095,0.249999999999875,0.03411979600787163,0.5,0.5,0.0,0.5,0.18749999999976566,0.12499999999984378,0.12499999999984378,0.6249999999992188,0.12499999999984378
ecommerce_a_004,ecommerce,a,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,0.0,0.0,0.49999999999975,0.02744436264038086,0.5,0.5,1.0,0.5,0.8124999999989845,0.12499999999984378,0.12499999999984378,0.6249999999992188,0.12499999999984378
ecommerce_a_005,ecommerce,a,Aside from server failure  the software product shall achieve 99.99% up time.,0.0,0.0,0.49999999999975,0.038826894015073776,0.5,0.5,1.0,0.5,0.8124999999989845,0.12499999999984378,0.12499999999984378,0.6249999999992188,0.12499999999984378
ecommerce_a_007,ecommerce,a,The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,0.0,0.0,0.39999999999992,0.03164997324347496,0.5,0.5,0.6000000000004799,0.5,0.5624999999995969,0.12499999999984378,0.12499999999984378,0.6249999999992188,0.12499999999984378
ecommerce_f_001,ecommerce,f,The product shall allow the user to save the property search results.,0.0,0.0,0.9999999999989999,0.07345640659332275,0.5,0.0,1.0,0.6973102688789368,0.2965984131457142,0.11851271384561816,0.5925635692280908,0.11851271384561816,0.17041100307948787
ecommerce_f_002,ecommerce,f,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,0.013513513513513332,0.0,0.33333333333322224,0.09002244472503662,0.5,0.0,0.3333333333335556,0.9542781114578247,0.261380085061702,0.11851271384561816,0.5925635692280908,0.11851271384561816,0.17041100307948787
ecommerce_f_003,ecommerce,f,The adjuster shall review the collision estimate.,0.0,0.0,0.9999999999989999,0.0869060754776001,0.5,0.0,1.0,0.9059378504753113,0.3321508485956001,0.11851271384561816,0.5925635692280908,0.11851271384561816,0.17041100307948787
ecommerce_f_004,ecommerce,f,The product shall record meeting entries.,0.0,0.0,0.9999999999989999,0.03353934362530708,0.5,0.0,1.0,0.07812771946191788,0.19108289381024549,0.11851271384561816,0.5925635692280908,0.11851271384561816,0.17041100307948787
