req_id,text,system,class,source
raw_0000,The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,ecommerce,a,raw
raw_0001,The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts,ecommerce,se,raw
raw_0002,The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,ecommerce,us,raw
raw_0003,The product shall respond fast to keep up-to-date data in the display.,ecommerce,pe,raw
raw_0004,The product shall have a consistent color scheme and fonts.,ecommerce,lf,raw
raw_0005,The product shall be easy for a realtor to learn.,ecommerce,us,raw
raw_0006,The product shall generate a CMA report in an acceptable time.,ecommerce,pe,raw
raw_0007,The product shall synchronize contacts and appointments in an acceptable time.,ecommerce,pe,raw
raw_0008,The product shall synchronize with the office system every hour.,ecommerce,pe,raw
raw_0009,The product shall be available for use 24 hours per day 365 days per year,ecommerce,a,raw
raw_0010,The product shall operate in offline mode whenever internet connection is unavailable.,ecommerce,ft,raw
raw_0011,The product shall allow the user to view previously downloaded search results CMA reports and appointments.,ecommerce,ft,raw
raw_0012,The product shall retain user preferences in the event of a failure.,ecommerce,ft,raw
raw_0013,The product shall be able to support multiple remote users,ecommerce,sc,raw
raw_0014,The product shall be able support 1000 simultaneous users.,ecommerce,sc,raw
raw_0015,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,ecommerce,sc,raw
raw_0016,The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,ecommerce,us,raw
raw_0017,90% of untrained realtors shall be able to install the product on their device without printed instructions,ecommerce,us,raw
raw_0018,The product is expected to run on Windows CE and Palm operating systems.,ecommerce,po,raw
raw_0019,The product shall prevent its data from incorrect data being introduced.,ecommerce,se,raw
raw_0020,The system shall be able to call the seller or buyer to schedule an appointment,healthcare,f,raw
raw_0021,The system shall notify the realtor when a seller or buyer responds to an appointment request,healthcare,f,raw
raw_0022,The product shall allow the user to save the property search results.,ecommerce,f,raw
raw_0023,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,education,pe,raw
raw_0024,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,education,sc,raw
raw_0025,The system shall interface with the student master server.,education,o,raw
raw_0026,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,education,f,raw
raw_0027,A non-clinical class shall specify the course name lecture room requirements and instructor needs.,education,f,raw
raw_0028,A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.,education,f,raw
raw_0029,A clinical lab section shall include the clinical site name the class instructor day and time of the lab.,education,f,raw
raw_0030,Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,education,f,raw
raw_0031,The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,education,f,raw
