req_id,text,system,class,source
ecommerce_a_001,The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,ecommerce,a,unchanged
ecommerce_a_002,The product shall be available for use 24 hours per day  365 days  per year,ecommerce,a,merge_accept
ecommerce_a_003,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,ecommerce,a,unchanged
ecommerce_a_004,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,ecommerce,a,unchanged
ecommerce_a_005,Aside from server failure  the software product shall achieve 99.99% up time.,ecommerce,a,unchanged
ecommerce_a_007,The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,ecommerce,a,unchanged
ecommerce_f_001,The product shall allow the user to save the property search results.,ecommerce,f,unchanged
ecommerce_f_002,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,ecommerce,f,unchanged
ecommerce_f_003,The adjuster shall review the collision estimate.,ecommerce,f,unchanged
ecommerce_f_004,The product shall record meeting entries.,ecommerce,f,unchanged
ecommerce_f_005,The product will notify employees of meeting invitations.,ecommerce,f,unchanged
ecommerce_f_006,The product shall have the ability to send meeting reminders to employees.,ecommerce,f,unchanged
ecommerce_f_007,The product shall assign the organizers contact information to each meeting they create.,ecommerce,f,unchanged
ecommerce_f_008,The product will record meeting acknowledgements.,ecommerce,f,unchanged
ecommerce_f_009,The product shall store new conference rooms.,ecommerce,f,unchanged
ecommerce_f_010,The product shall update existing conference rooms.,ecommerce,f,unchanged
ecommerce_f_011,The product will be able to delete conference rooms.,ecommerce,f,unchanged
ecommerce_f_012,The product shall be able to store new room equipment.,ecommerce,f,unchanged
ecommerce_f_013,The product will update existing room equipment.,ecommerce,f,unchanged
ecommerce_f_014,The product shall be able to delete room equipment.,ecommerce,f,unchanged
ecommerce_f_015,The product shall allow an organizer to invite other employees to meetings.,ecommerce,f,unchanged
ecommerce_f_016,The product shall record the transportation status of equipment reserved.,ecommerce,f,unchanged
ecommerce_f_017,The product shall display a map of the company building showing conference room locations.,ecommerce,f,unchanged
ecommerce_f_018,The product shall record updated meeting agendas.,ecommerce,f,unchanged
ecommerce_f_019,The product shall send a meeting confirmation to the meeting organizer.,ecommerce,f,unchanged
ecommerce_f_020,The product shall display room equipment according to search parameters.,ecommerce,f,unchanged
ecommerce_f_021,The product shall display conference rooms according to search parameters.,ecommerce,f,unchanged
ecommerce_f_022,The product shall record different meeting types.,ecommerce,f,unchanged
ecommerce_f_023,The product shall record all the equipment that has been reserved.,ecommerce,f,unchanged
ecommerce_f_024,The product shall notify building personnel of equipment transport requests.,ecommerce,f,unchanged
ecommerce_f_025,The product will allow priviledged users to view meeting schedules in multiple reporting views.,ecommerce,f,unchanged
ecommerce_f_026,The product shall be able to send meeting notifications via different kinds of end-user specified methods.,ecommerce,f,unchanged
ecommerce_f_027,The product shall have a customizable Look and Feel.,ecommerce,f,unchanged
ecommerce_f_028,The product shall have an intuitive user interface.,ecommerce,f,unchanged
ecommerce_f_029,The product will display an available status for unreserved conference rooms.,ecommerce,f,unchanged
ecommerce_f_030,The System shall allow generation of Inventory Quantity Adjustment documents on demand.,ecommerce,f,unchanged
ecommerce_f_031,The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,ecommerce,f,unchanged
ecommerce_f_032,The System shall allow entering  storing and modifying product formulas.,ecommerce,f,unchanged
ecommerce_f_033,Product formulas shall allow use of semi-products  which have own formulas.,ecommerce,f,unchanged
