req_id,text
field_service_f_001,The system shall be able to display a printable summary of the system log.
field_service_f_002,The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.
field_service_f_003,The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles
field_service_f_004,The system shall locate the preferred repair facility with the highest ratings for the input criteria
field_service_f_005,The preferred repair facility shall be returned to the user.
field_service_f_006,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.
field_service_f_007,The user shall select to view the preferred repair facility ratings.
field_service_f_008,The current repair facility ratings shall be displayed to the user.
field_service_f_009,The user shall select to save the preferred repair facility ratings.
field_service_f_010,The preferred repair facility ratings shall be saved by the system.
