system,class,filename,path,rows,text_only
ecommerce,A,ecommerce_a.csv,results_rerun/split_by_class-system/ecommerce_a.csv,7,True
ecommerce,F,ecommerce_f.csv,results_rerun/split_by_class-system/ecommerce_f.csv,85,True
ecommerce,FT,ecommerce_ft.csv,results_rerun/split_by_class-system/ecommerce_ft.csv,6,True
ecommerce,L,ecommerce_l.csv,results_rerun/split_by_class-system/ecommerce_l.csv,4,True
ecommerce,LF,ecommerce_lf.csv,results_rerun/split_by_class-system/ecommerce_lf.csv,15,True
ecommerce,MN,ecommerce_mn.csv,results_rerun/split_by_class-system/ecommerce_mn.csv,9,True
ecommerce,O,ecommerce_o.csv,results_rerun/split_by_class-system/ecommerce_o.csv,29,True
ecommerce,PE,ecommerce_pe.csv,results_rerun/split_by_class-system/ecommerce_pe.csv,15,True
ecommerce,PO,ecommerce_po.csv,results_rerun/split_by_class-system/ecommerce_po.csv,1,True
ecommerce,SC,ecommerce_sc.csv,results_rerun/split_by_class-system/ecommerce_sc.csv,10,True
ecommerce,SE,ecommerce_se.csv,results_rerun/split_by_class-system/ecommerce_se.csv,18,True
ecommerce,US,ecommerce_us.csv,results_rerun/split_by_class-system/ecommerce_us.csv,29,True
